Camera_Review_Title,Camera_Review,Camera_Reviewer_Name,Camera_Reviewer_Location,Camera_Review_Date,Camera_review_Likes,Camera_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
very good,avg low light camera performance,mohd tabish,bijnor,201810,2.0,0.0,very good. avg low light camera performance,Positive,0.5557210445404053
best in the market,camera good clarity and ai finds edges well in portrait mode,george dcruze,pune,201809,2.0,3.0,best in the market. camera good clarity and ai finds edges well in portrait mode,Positive,0.6164920330047607
worth the money,good back camera front camera is not at all good,swanand,pimpri chinchwad,201903,0.0,0.0,worth the money. good back camera front camera is not at all good,Neutral,0.45352745056152344
excellent,camera suberb back camera and picture clarity is awsm front camera is also awsm and slo mo is exceptional,ravi sharma,new delhi,201809,2.0,1.0,excellent. camera suberb back camera and picture clarity is awsm front camera is also awsm and slo mo is exceptional,Positive,0.8718348145484924
super,camera 1 it has got a decent camera with good dynamic range but for better results install the google camera app,user 999,pune,201811,0.0,0.0,super. camera 1 it has got a decent camera with good dynamic range but for better results install the google camera app,Positive,0.5166698694229126
classy product,i haven t mentioned camera aspect either in pros or cons because i feel this aspect needs to discussed in detail so if you are looking for camera aspect,anurag,hyderabad,201810,0.0,0.0,classy product. i haven t mentioned camera aspect either in pros or cons because i feel this aspect needs to discussed in detail so if you are looking for camera aspect,Positive,0.5603678226470947
just wow,camera 4 5,prangan mukherjee,kolkata,201810,0.0,0.0,just wow. camera 4 5,Positive,0.6901368498802185
brilliant,back primary camera 8 10,saurav guha,noida,201812,1.0,0.0,brilliant. back primary camera 8 10,Positive,0.7911492586135864
wonderful,2 another main advantage is the camera pictures quality despite of 12 5 20 mp camera this also has slow motion camera works at 60 fps,daksh patel,talegaon dabhade,201809,14.0,1.0,wonderful. 2 another main advantage is the camera pictures quality despite of 12 5 20 mp camera this also has slow motion camera works at 60 fps,Positive,0.44697821140289307
,camera is decent and notch is quite bigger as compare to many recent phones,flipkart customer,allahabad,201903,,,. camera is decent and notch is quite bigger as compare to many recent phones,Neutral,0.5405810475349426
terrific,4 looks unique where every phone copies iphone camera layout,flipkart customer,tirunelveli,201812,2.0,0.0,terrific. 4 looks unique where every phone copies iphone camera layout,Positive,0.8900954127311707
terrific,the camera quality is superb had absolutely no downfalls,deepali chamoli,srinagar,201810,1.0,0.0,terrific. the camera quality is superb had absolutely no downfalls,Positive,0.923214852809906
must buy,camera is very good,tajinder singh,suratgarh,202305,5.0,0.0,must buy. camera is very good,Positive,0.7571908831596375
terrific,great camera and bokeh effect with details,rishabh jaiswal,lucknow,201810,1.0,0.0,terrific. great camera and bokeh effect with details,Positive,0.903813362121582
delightful,camera quality is good even in low lights,prateek jauhari,noida,201904,0.0,0.0,delightful. camera quality is good even in low lights,Positive,0.638995885848999
terrific,great camera quality both front and back,vivek h,bengaluru,201809,0.0,0.0,terrific. great camera quality both front and back,Positive,0.9273204803466797
highly recommended,best quality back camera with clear and detailed images best quality front camera with a natural depth effect,rohit singh,new delhi,201902,0.0,0.0,highly recommended. best quality back camera with clear and detailed images best quality front camera with a natural depth effect,Positive,0.9165046215057373
awesome,camera 8,srikanta meher,ahmedabad,201810,0.0,0.0,awesome. camera 8,Positive,0.8290650844573975
fabulous,front camera 10 10 rear camera 9 10 rear camera needs improvement in portrait mode and low light conditions,brajesh kumar,noida,201809,2.0,0.0,fabulous. front camera 10 10 rear camera 9 10 rear camera needs improvement in portrait mode and low light conditions,Positive,0.6782612800598145
wonderful,so if you sideload the pixel or google camera it drastically improved the camera performance in hdr enhanced mode,jabir ansari,pune,201902,2.0,0.0,wonderful. so if you sideload the pixel or google camera it drastically improved the camera performance in hdr enhanced mode,Positive,0.5799072980880737
terrific purchase,amazing camera both front back,harsh sharma,lucknow,201810,0.0,1.0,terrific purchase. amazing camera both front back,Positive,0.9336236119270325
good choice,camera quality mass,nayaz pasha,bangalore,201912,0.0,0.0,good choice. camera quality mass,Positive,0.5225080847740173
terrific,camera quality is also unprecedented for 20k price range phone,avinandan banerjee,kolkata,201809,0.0,0.0,terrific. camera quality is also unprecedented for 20k price range phone,Positive,0.7830169796943665
excellent,camera imx 363 used in pixel 3,ronit singh,sonipat,201904,0.0,0.0,excellent. camera imx 363 used in pixel 3,Positive,0.896708071231842
worst experience ever,camera 6 10,dharmendra singh,roorkee,201809,1.0,2.0,worst experience ever. camera 6 10,Negative,0.9381800889968872
best in the market,ai camera quality is good enough for low li,abhinav kumar,purnia,201907,2.0,0.0,best in the market. ai camera quality is good enough for low li,Positive,0.5981296896934509
super,camera takes warm shots which results vibrant and bright pictures with details,suvajit parida,barrackpore,201808,1.0,0.0,super. camera takes warm shots which results vibrant and bright pictures with details,Positive,0.7302805185317993
must buy,this device osm camera quality,flipkart customer,jalandhar,201903,0.0,0.0,must buy. this device osm camera quality,Positive,0.8263748288154602
super,camera samples attached camera improvement tricks,shubhangi hadole,nagpur,201811,0.0,0.0,super. camera samples attached camera improvement tricks,Positive,0.7067479491233826
mind blowing purchase,camera both front and rear,shahbaz hashmi,mumbai,201812,0.0,1.0,mind blowing purchase. camera both front and rear,Positive,0.3749675750732422
terrific purchase,camera is also very good and it s ai produces really good pictures,umesh chaudhary,noida,201808,5.0,1.0,terrific purchase. camera is also very good and it s ai produces really good pictures,Positive,0.8742708563804626
wonderful,camera quality is average low light camera is below average,santanu mistry,hyderabad,201910,2.0,0.0,wonderful. camera quality is average low light camera is below average,Positive,0.3545522391796112
unbelievable flagship phone on mid range price,here are some key pros and cons of the phone based on my experience pros 1 very fast processor really impressive 2 8 ghz processor is as good as one plus 6t 2 cooling liquid really cool feature which you only find in a premium phone it prevents your phone from heating very good for people who use it extensively for games etc 3 back cover back cover which comes along with the mobile is very thin and subtle makes phone very handy and makes it look good 4 kevlar back makes read more,himanshu agrawal,ghaziabad,201902,2.0,0.0,unbelievable flagship phone on mid range price. here are some key pros and cons of the phone based on my experience pros 1 very fast processor really impressive 2 8 ghz processor is as good as one plus 6t 2 cooling liquid really cool feature which you only find in a premium phone it prevents your phone from heating very good for people who use it extensively for games etc 3 back cover back cover which comes along with the mobile is very thin and subtle makes phone very handy and makes it look good 4 kevlar back makes read more,Positive,0.5733463168144226
worth every penny,front camera 10 and back camera 9,castro saba,madurai,201809,1.0,0.0,worth every penny. front camera 10 and back camera 9,Positive,0.7579931616783142
fabulous,camera specially front is mind blowing,vikas kumar gupta,motihari,201809,0.0,0.0,fabulous. camera specially front is mind blowing,Positive,0.8688779473304749
must buy,camera the camera picture is amazingly very clear and sharp both rear and front camera is amazingly beautiful,amit kumar,new delhi,201812,0.0,0.0,must buy. camera the camera picture is amazingly very clear and sharp both rear and front camera is amazingly beautiful,Positive,0.9075285792350769
great product,camera quality is suprb,flipkart customer,buldana,201901,0.0,0.0,great product. camera quality is suprb,Positive,0.7357677817344666
great product,fast camera and beautiful pictures,shivanshu katiyar,pune,201810,0.0,0.0,great product. fast camera and beautiful pictures,Positive,0.8316565752029419
classy product,camera quality seems vivid and detailed in day light and just manages to get the job done in low light,abhishek puri,rajpura,201810,0.0,0.0,classy product. camera quality seems vivid and detailed in day light and just manages to get the job done in low light,Positive,0.6134568452835083
great product,camera is phenomenal and feels premium too,kartik yadiyapur,bengaluru,201810,0.0,0.0,great product. camera is phenomenal and feels premium too,Positive,0.8833136558532715
