Performance_Review_Title,Performance_Review,Performance_Reviewer_Name,Performance_Reviewer_Location,Performance_Review_Date,Performance_Review_Likes,Performance_Review_Dislikes
brilliant,performance a15 bionic with 6 core processor,flipkart customer,walajapet,202305,24.0,5.0
terrific,everything is optimised and powerful performance,vaibhav kumar,saharanpur,0,0.0,1.0
classy product,fast performance which is way better then my previous 8gb ram mobile,parameshwar bhise,mumbai,0,0.0,1.0
great product,trust me the 6gb ram in iphone 14 is far better than one 10 16gb ram as far as performance and ram management is concerned,ashish panda,bengaluru,0,0.0,0.0
delightful,smooth performance,tyagaraju g,kurnool,0,0.0,0.0
fabulous,performance is good smooth performance,debabrata mahato,durgapur,0,0.0,0.0
simply awesome,smooth performance of this phone,mayankraj nayak,mahesana,0,0.0,1.0
wonderful,performance is very smooth,anup singh,chhapra,202306,203.0,36.0
simply awesome,performance is the best no lag in games,priyanshu kumar,bhubaneswar,0,0.0,0.0
fabulous,no performance issue supper ram and power management,suman das,kolkata,202301,257.0,54.0
must buy,no issue with performance,zeherul islam,barpeta,0,1.0,0.0
terrific purchase,performance 4,krishna kumar,new delhi,0,14.0,6.0
excellent,osm performance,abbas shaik,nalgonda,0,2.0,0.0
must buy,good mobile with ultimate speed and high performance,srinivas p,hyderabad,202307,0.0,0.0
simply awesome,best phone at a good deal price pros 1 best camera you get 2 good battery life 3 super smooth ui 4 fast processing no lag at all 5 ecosystem is the next best thing in this cons 1 no usb c port 2 like phone accessories is also costly 3 no charger in the box,md asif,nawada,0,1.0,0.0
value for money,bettry performance is very good,santosh golagana,rajam,0,0.0,0.0
mind blowing purchase,love the device compact and super performance,shubham rawat,navi mumbai,0,0.0,0.0
simply awesome,a very good phone with optimum performance never disappoint if you purchase,ashutosh panigrahi,aurangabad,0,5.0,1.0
just wow,nice performance,dharmender kumar lohmod,gurugram,202301,0.0,0.0
,all rounder performance,vishal rupani,varanasi,0,,
good quality product,performance 5 5,manoj kumar,mussoorie,0,0.0,0.0
excellent,performance 5 5,nikhil ranjan,patna,0,0.0,0.0
worth every penny,performance 5 5,divesh hansari,indore,0,1.0,0.0
moderate,performance of phone is not satisfying camera performance is very poor in comparison to other i phone 14,gaurav parolkar,indore,0,8.0,1.0
pretty good,all performance in this phone are good,sushil kumar dash,puri,0,0.0,0.0
must buy,excellent camera and the battery performance need to be improved more and the display also should be improved when it comes to the mobile performance it is absolutely fantastic,jai balu,chilakaluripet,0,0.0,0.0
just wow,performance is top notch,himanshu panwar,kala amb industrial area,0,0.0,0.0
decent product,performance is top notch,sheriyar shaikh,navi mumbai,0,0.0,1.0
,performance this is where i encountered some major issues,flipkart customer,puthencruz,0,,
,performance is ok almost similar performance,harvinder singh gill,ludhiana,202308,,
awesome,very good phone with performance,vikrant kumar,gaya district,0,0.0,0.0
perfect product,osm phone with extreme performance,ritesh pawar,kinwat,0,0.0,0.0
super,there are changes from the older generation iphone 13 it is felt in the ram management and much more areas simply the best iphone for the price,manan malhotra,new delhi,0,0.0,0.0
excellent,next level of performance,k ris hna yadav,basti,0,0.0,0.0
best in the market,very good performance for gaming,mohammad qaiyum,patna,0,0.0,0.0
highly recommended,as expected by the benchmark for apple performance is great,viebhav sharma,dehradun,0,0.0,0.0
great product,powerful processor great display great camera less battery,pavan durga kumar,mangalagiri,202308,3.0,0.0
very good,performance 5 5,priyam raj kalita,guwahati,0,2.0,1.0
good quality product,performance 5 5,krishna kumar dutta,kolkata,0,0.0,0.0
,performance 8,sourav nath,kolkata,0,,
