Display_Review_Title,Display_Review,Display_Reviewer_Name,Display_Reviewer_Location,Display_Review_Date,Display_Review_Likes,Display_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
does the job,everything is good and smooth operating display,n s nagesh rao,bengaluru,202112,0.0,1.0,does the job. everything is good and smooth operating display,Positive,0.5342451930046082
highly recommended,thank you flipkart for this iphone and its fantastic mobile i feel very good for few reasons 1 high screen resolution 2 it s performance it never hang 3 playing games superb in this mobile 4 it comes with a13 and latest os battery is ok it can be improved everything super go for it this mobile is super go for it don t think,flipkart customer,bidar,202010,0.0,0.0,highly recommended. thank you flipkart for this iphone and its fantastic mobile i feel very good for few reasons 1 high screen resolution 2 it s performance it never hang 3 playing games superb in this mobile 4 it comes with a13 and latest os battery is ok it can be improved everything super go for it this mobile is super go for it don t think,Positive,0.7403833270072937
just wow,display if you think this lcd panel is comparable to others you find on normal androids you re wrong retina display is really good,akash bhoir,raigarh district,202010,0.0,1.0,just wow. display if you think this lcd panel is comparable to others you find on normal androids you re wrong retina display is really good,Positive,0.4434159994125366
value for money,i am a first time iphone user i ve been using android since android 2 3 i m still using android through samsung galaxy note 8 as my primary phone so my review should help any prospective iphone users to make the right decision overall summary a good phone to begin your iphone experience i bought it during bbd festival offer for the phone for rs28000 after discount no i didn t exchange any phone for it ordered on thursday night around 11pm phone delivered saturday afternoon pr read more,sankara raman,new delhi,202010,0.0,0.0,value for money. i am a first time iphone user i ve been using android since android 2 3 i m still using android through samsung galaxy note 8 as my primary phone so my review should help any prospective iphone users to make the right decision overall summary a good phone to begin your iphone experience i bought it during bbd festival offer for the phone for rs28000 after discount no i didn t exchange any phone for it ordered on thursday night around 11pm phone delivered saturday afternoon pr read more,Neutral,0.27187302708625793
terrific,display my friend has oneplus 7t,debojyoti das,hugli chinsurah,202010,0.0,0.0,terrific. display my friend has oneplus 7t,Positive,0.914992094039917
classy product,the best budget iphone you can get the camera great for daylight images only downside i would say is the lack of night sight but yeah it does the task performance i will certainly be joking if i said i was experiencing issues with the phone s performance it s a13 for god s sake the best processor in the market right now and i feel this is the reason most of us are buying this phone is gonna last you more than any android in the same price segment will ever do and that includes one read more,yash kumar,ranchi,202008,5.0,0.0,classy product. the best budget iphone you can get the camera great for daylight images only downside i would say is the lack of night sight but yeah it does the task performance i will certainly be joking if i said i was experiencing issues with the phone s performance it s a13 for god s sake the best processor in the market right now and i feel this is the reason most of us are buying this phone is gonna last you more than any android in the same price segment will ever do and that includes one read more,Positive,0.5491952300071716
terrific purchase,every thing is top notch even hd screen feels like amoled 2k display,mudit sharma,agra,202010,0.0,0.0,terrific purchase. every thing is top notch even hd screen feels like amoled 2k display,Positive,0.9534203410148621
unsatisfactory,display 720p display crisp and sharp,kiran,bengaluru,202010,0.0,3.0,unsatisfactory. display 720p display crisp and sharp,Negative,0.4893246591091156
very good,not working fast display,flipkart customer,anandnagar,202008,1.0,0.0,very good. not working fast display,Positive,0.3904348611831665
,smooth display it is only lcd display but far better than android phones lcd displays,jishnu j,veiloor,202007,,,. smooth display it is only lcd display but far better than android phones lcd displays,Positive,0.5131675004959106
moderate,display is really poor i am an iphone users for past 6 years and never seen such a bad model from the house of apple,flipkart customer,bidhan nagar,202105,0.0,1.0,moderate. display is really poor i am an iphone users for past 6 years and never seen such a bad model from the house of apple,Negative,0.5458375811576843
absolute rubbish,1 screen is very small and touch response is not good 2 batary is very very poor half day backup only 3 only who want a phone for calling and whatsapp purpose they can buy it for a secondary phone,siddhartha das,kolkata,202106,0.0,4.0,absolute rubbish. 1 screen is very small and touch response is not good 2 batary is very very poor half day backup only 3 only who want a phone for calling and whatsapp purpose they can buy it for a secondary phone,Negative,0.8965557813644409
